Hospital_ID,Package_ID,Hospital_Name,Hospital_Type,City,Country,Emergency_Number,Address,Distance_km_From_Destination,24x7_Service,Ambulance_Available,Latitude,Longitude,SOS_Response_Time_Min,Languages_Supported,Notes
H001A,1,Goa General Hospital,Clinic,Goa,India,+46-848906771,"Central Ave, Goa",8.3,Yes,Yes,-59.5292,-108.5459,15,"English, Hindi, Local Language",24x7 emergency trauma unit
H001B,1,Goa Community Hospital,Public,Goa,India,+84-760528773,"Main Road, Goa",5.3,Yes,Yes,26.8172,-170.7307,14,"English, Hindi, Local Language",Tourist-assist facility
H001C,1,Goa General Hospital,Private,Goa,India,+99-587396136,"Central Ave, Goa",13.3,Yes,Yes,-50.8258,42.2329,9,"English, Hindi, Local Language",International patient wing
H002A,2,New Delhi Central Hospital,Clinic,New Delhi,India,+59-738539137,"Central Ave, New Delhi",9.7,Yes,Yes,89.5626,116.8811,9,"English, Hindi, Local Language",Tourist-assist facility
H002B,2,New Delhi LifeCare Hospital,Private,New Delhi,India,+75-514307003,"Beach Road, New Delhi",14.6,Yes,Yes,18.7834,-172.3749,8,"English, Hindi, Local Language",Quick SOS response center
H002C,2,New Delhi Community Hospital,Private,New Delhi,India,+52-786802594,"Station Road, New Delhi",7.5,Yes,Yes,9.2506,46.5505,13,"English, Hindi, Local Language",Tourist-assist facility
H003A,3,Manali Community Hospital,Clinic,Manali,India,+70-476728587,"Hilltop, Manali",9.3,Yes,Yes,80.4932,176.8845,6,"English, Hindi, Local Language",24x7 emergency trauma unit
H003B,3,Manali General Hospital,Public,Manali,India,+67-183499626,"Central Ave, Manali",5.0,Yes,Yes,-56.6341,-130.7233,14,"English, Hindi, Local Language",Quick SOS response center
H003C,3,Manali LifeCare Hospital,Private,Manali,India,+71-493739371,"Central Ave, Manali",3.9,Yes,Yes,-33.1994,148.6825,8,"English, Hindi, Local Language",Quick SOS response center
H004A,4,Bali City Hospital,Private,Bali,Indonesia,+62-920815919,"Central Ave, Bali",4.0,Yes,Yes,-52.4306,-138.3947,5,"English, Bahasa Indonesia",24x7 emergency trauma unit
H004B,4,Bali Central Hospital,Public,Bali,Indonesia,+34-653528889,"Central Ave, Bali",5.7,Yes,Yes,-33.0126,-9.5807,8,"English, Bahasa Indonesia",International patient wing
H004C,4,Bali General Hospital,Private,Bali,Indonesia,+1-149127714,"Station Road, Bali",10.2,Yes,Yes,27.5637,-111.144,6,"English, Bahasa Indonesia",24x7 emergency trauma unit
H005A,5,Paris LifeCare Hospital,Public,Paris,France,+58-567946229,"Central Ave, Paris",7.6,Yes,Yes,54.6189,-122.3774,6,"English, French",International patient wing
H005B,5,Paris General Hospital,Clinic,Paris,France,+57-487215356,"Beach Road, Paris",6.9,Yes,Yes,-87.8983,46.9948,12,"English, French",Tourist-assist facility
